,Case_Number,Case_NumberAlt,Reported_Date,Occurred_Date,NIBRS_Crime_Against,Offense_Category,Offense,Problem_Initial,Problem_Final,Address,Precinct,Neighborhood,Latitude,Longitude,Date_Occurred,Time_Occurred,Date_Reported,Time_Reported
4,20-703897,MP2020703897,2020-07-12 11:24:00+00:00,2020-07-12 09:30:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0032XX 37TH ST E,3.0,Standish,44.93595,-93.22609,2020-07-12,09:30:00,2020-07-12,11:24:00
42,21-101731,MP2021101731,2021-05-14 10:37:00+00:00,2021-05-14 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Disturbance (P),Theft - Report Only (P),0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2021-05-14,00:00:00,2021-05-14,10:37:00
350,19-223202,MP2019223202,2019-07-28 20:47:00+00:00,2019-07-28 16:47:00+00:00,Person ,Sex Offenses ,Sex Offenses,Crim Sex Conduct/Report (P),Crim Sex Conduct/Report (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-07-28,16:47:00,2019-07-28,20:47:00
412,20-289454,MP2020289454,2020-11-14 23:58:00+00:00,2020-11-14 23:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0037XX 29TH AVE S,3.0,Standish,44.93501,-93.23085,2020-11-14,23:00:00,2020-11-14,23:58:00
532,21-708610,MP2021708610,2021-10-23 17:18:00+00:00,2021-10-23 03:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,,,0041XX STANDISH AVE,3.0,Standish,44.92781,-93.23973,2021-10-23,03:00:00,2021-10-23,17:18:00
554,21-251004,MP2021251004,2021-10-31 10:35:00+00:00,2021-10-31 00:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0041XX 24TH AVE S,3.0,Standish,44.9278,-93.2372,2021-10-31,00:00:00,2021-10-31,10:35:00
659,20-706110,MP2020706110,2020-09-16 13:42:00+00:00,2020-09-16 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,,,0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2020-09-16,00:00:00,2020-09-16,13:42:00
832,19-024992,MP201924992,2019-01-26 10:14:00+00:00,2019-01-26 08:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0037XX 29TH AVE S,3.0,Standish,44.93501,-93.23085,2019-01-26,08:00:00,2019-01-26,10:14:00
846,20-706071,MP2020706071,2020-09-15 14:59:00+00:00,2020-09-15 00:45:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,,,0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2020-09-15,00:45:00,2020-09-15,14:59:00
960,22-049398,MP202249398,2022-03-09 11:28:00+00:00,2022-01-03 12:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Theft - Report Only (P),Theft - Report Only (P),0036XX CEDAR AVE S,3.0,Standish,44.93682,-93.24735,2022-01-03,12:00:00,2022-03-09,11:28:00
